doi,title,abstract,journal,publisher,label,reason,extra
10.1021/acsaem.3c00888,Paper-Thin Al-Catalyzed Si Nanowire Solar Cells and Efficiency Enhancement by Hybrid Nanostructures with Mn-Doped Perovskite Nanocrystals,"The use of thin silicon (Si) wafers and streamlined fabrication methods that can be scaled up without compromising device efficiency is a key strategy for realizing low-cost and flexible solar cells. Herein, aluminum (Al)-catalyzed Si nanowires (NWs) formed by vapor–liquid–solid growth on paper-thin polished and etched Si(111) wafers of 100 and 60 μm thickness with high proficiency for minimizing interfacial defects and light absorption loss have been accomplished. Successfully addressing the major challenge of rapid Al catalyst oxidation by ex situ and uncomplicated growth conditions allows for the potential to scale up the process while preventing the formation of deep-level traps resulting from catalyst contamination. The Si NWs formed on the nanowave surface of a thin etched Si wafer evidence comparable light absorbance and low interfacial defects to those grown on thin polished and traditional Si wafers. Fabrication of thin Si NW solar cells with a homojunction p + –p–n–n + structure toward the enhanced power conversion efficiency (PCE) by hybrid nanostructures with manganese-doped cesium lead chloride (CsPb 0.81 Mn 0.19 Cl 3 ) perovskite nanocrystals (NCs) using a simple drop-casting method has been explicitly explained. The precise tuning of the energy band and NC size enabled a significant radiative energy transfer by matching the light absorption range of NCs with a high Stokes shift in the luminescence spectrum and the spectral response range of underlying Si solar cells. The nonradiative energy transfer efficiency of NCs and an NC amount infiltration on homojunction Si NW solar cells for maximizing PCE enhancement were examined. The effective photon-harvesting architectures of NWs and NCs together with efficient energy transfers and surface passivation from NCs to the underlying homojunction Si NW solar cells could capably enhance PCE up to a 9% level. These results exhibited the potential for feasible low-cost and large-scale fabrication techniques with lower consumption of raw materials for future photovoltaic applications.",ACS Applied Energy Materials,American Chemical Society,False,"Focuses on Si nanowire cells, not perovskite PSCs",False
10.1021/acsaem.1c02058,"Robust, High-Performing Maize–Perovskite-Based Solar Cells with Improved Stability","Robust, High-Performing Maize−Perovskite-Based Solar Cells with
Improved Stability
Antonella Giuri, Nicholas Rolston, Silvia Colella, Andrea Listorti, Carola Esposito Corcione,
Hannah Elmaraghi, Simone Lauciello, Reinhold H. Dauskardt,* and Aurora Rizzo*
Cite This: ACS Appl. Energy Mater. 2021, 4, 11194−11203
Read Online
ACCESS
Metrics & More
Article Recommendations
*
sı
Supporting Information
ABSTRACT: Herein, we focus on improving the long-term chemical and thermomechan-
ical stability of perovskite solar cells (PSCs), two major challenges currently limiting their
commercial deployment. Our strategy incorporates a long-chain starch polymer into the
perovskite precursor. The starch polymer confers multiple beneﬁcial eﬀects by forming
hydrogen bonds with the methylammonium iodide precursor, templating perovskite growth
that results in a compact and homogeneous ﬁlm deposited in a simple one-step coating
(antisolvent-free). The inclusion of starch in the methylammonium lead iodide ﬁlms
strongly improves their thermomechanical and environmental stability while maintaining a
high photovoltaic performance. The fracture energy (Gc) of the ﬁlm is increased to above 5
J/m2 by creating a nanocomposite that provides intrinsic reinforcement at grain boundaries.
Additionally, improved optoelectronic properties achieved with the starch polymer enable
good photostability of the active layer and enhanced resistance to thermal cycling.
KEYWORDS: perovskite solar cell, starch, mechanical reinforcement, grain boundaries, thermomechanical stability, photostability
1. INTRODUCTION
The outstanding optoelectronic properties1−4 make hybrid
halide perovskites ideal photoactive materials for next-
generation solar cells, enabling the development of single-
junction lab-scale devices with a record power conversion
eﬃciency (PCE) of up to 25.5% only 12 years after the ﬁrst
demonstration of perovskite solar cells (PSCs).5,6 However,
signiﬁcant perovskite compositional and structural degradation
mechanisms result from the intrinsic thermal and chemical
instabilitie",ACS Applied Energy Materials,American Chemical Society,False,Contains non‑solar focus and unclear PSC type,False
10.1021/acs.nanolett.4c04587,Homogenizing Nucleation and Growth of Tin Perovskite by Polarity-Free Trithiane Coordination Molecule for Efficient and Stable Photovoltaics.,"Tin (Sn)-based perovskite solar cells (TPSCs) have garnered significant attention recently, with power conversion efficiencies (PCEs) approaching 16%. Nevertheless, for Sn-based perovskites, their rapid crystallization and easy Sn2+ oxidation are always annoying for fabricating efficient and stable TPSCs. Coordination engineering has been developed for retarding the crystallization rate and Sn2+ passivation, but the homogeneous crystallization of Sn-based perovskites is still challenging due to the asymmetric and polar nature of currently used ligands. Here, a polarity-free S-containing symmetric molecule, 1,3,5-trithiane (TT), is developed to regulate the crystallization of FASnI3. Nonpolar TT with three symmetric S atoms shows equally strong coordination with Sn2+, which enhances the environment stability of the precursor and promotes the homogeneous nucleation and retarded growth of FASnI3 crystals. Consequently, TT-based TPSCs exhibit an improved PCE from 9.02% to 12.87% with robust stability. This study highlights the critical role of ligand polarity in controlling the crystallization behavior of efficient TPSCs.",Nano letters,American Chemical Society (ACS),False,Not about single-junction PSCs,False
10.1002/er.7125,Submerged solar energy harvesting using ferroelectric Ti‐doped BFO‐based heterojunction solar cells,"Herein, ferroelectric Ti‐doped BiFeO3 (BFTO) heterojunction photovoltaic (PV) cells are realized for underwater PV applications. In the heterostructure, NiO functions as a transparent wide‐bandgap (3.2 eV) hole transport layer (HTL), whereas BFTO is the visible energy harvester and the highly conductive WS2 behaves as the electron transport layer (ETL). The multijunction PV device with a cell area of 1cm2 revealed a current density (JSC) and an open‐circuit voltage (VOC) of 1.90 mA/cm2 and 1.20 V, respectively, under ambient conditions (before submerging into water). Subsequently, the polydimethylsiloxane (PDMS)‐encapsulated Ag/NiO/BFTO/WS2/ITO PV device was investigated for underwater solar energy harvesting in a shallow tank. For a comparative analysis, the mono‐junction NiO/BFTO and BFTO/WS2 PVs were also evaluated. The results indicated a steady decrease in the efficacy and power density of the cell with depth, and the heterojunction PV has outperformed the single‐junction PVs. As there are spectral variations with increase in depth, the heterostructure seem to have the potential to absorb the overall spectrum as NiO being transparent transmits high energy UV radiations into the device, while BFTO and WS2 layers absorb the visible and NIR spectrum. Therefore, the device though submerged can capture the solar energy efficiently with minimal losses in terms of spectrum and function efficiently. These results establish that the ferroelectric nano‐heterostructured PV devices can be utilized as a power generating source for various low‐power marine‐based sensing applications.",International Journal of Energy Research,Wiley,False,Not perovskite; heterojunction ferroelectric device,False
10.1016/j.jechem.2022.05.015,Efficient plasmon-enhanced perovskite solar cells by molecularly isolated gold nanorods,"Efﬁcient plasmon-enhanced perovskite solar cells by molecularly
isolated gold nanorods
Yong Hui a, En-Ming You a, Qing-Peng Luo a, Tan Wang b, Zi-Ang Nan a, Yu Gu a, Wen-Han Zhang a,
Zhuan-Yun Cai a, Liang Chen a,⇑, Jian-Zhang Zhou a, Jia-Wei Yan a, Zhao-Xiong Xie a, Bing-Wei Mao a,⇑,
Zhong-Qun Tian a
a State Key Laboratory of Physical Chemistry of Solid Surfaces and Department of Chemistry, College of Chemistry and Chemical Engineering, Innovation Laboratory for Sciences
and Technologies of Energy Materials of Fujian Province (IKKEM), Xiamen University, Xiamen 361005, Fujian, China
b School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai 200241, China
a r t i c l e
i n f o
Article history:
Received 7 April 2022
Revised 30 April 2022
Accepted 10 May 2022
Available online 18 May 2022
Keywords:
Perovskite solar cells
Plasmon-enhanced
Gold nanorods
Molecular isolation
Scattering
a b s t r a c t
Perovskite solar cells (PSCs) are becoming a promising candidate for next-generation photovoltaic cells
due to their attractive power conversion efﬁciency (PCE). Plasmonic enhancement is regarded as an opti-
cal tuning approach for further improving the PCE of single-junction PSCs toward Shockley-Queisser
limit. Herein, we introduce molecularly isolated gold nanorods (Au NRs), bearing relatively stronger scat-
tering ability and localized surface plasmonic resonance (LSPR) effect, in the rear side of perovskites in
PSCs, for promoting light harvesting and for electrical enhancement. Owing to the larger refractive index
and better matched energy level alignment, the 4-mercaptobenzoic acid molecules coated on Au NRs
prove to play important dual roles: isolating th",Journal of Energy Chemistry,Elsevier BV,False,Not enough info,False
10.1002/aenm.202101085,Emerging Perovskite Solar Cell Technology: Remedial Actions for the Foremost Challenges,"<jats:title>Abstract</jats:title><jats:p>Perovskite solar cells (PSCs) exhibit the steepest growth in power conversion efficiency among the existing photovoltaic technologies. However, a wide range of factors restrict the commercial viability of PSCs as a renewable energy source. This article reviews the latest progress in PSC devices including innovative light‐harvesting perovskite materials and advanced interfacial layers, and the foremost challenges. The most promising remedial solutions to challenges are also discussed. For the realization of a high performing and eco‐friendly stabilized perovskite photovoltaic device, a combinational method involving multiple restorative solutions is required. A specific emphasis is given to unveiling interesting perovskite properties, and device fabrication approaches to the solutions. These remedies and strategies may help researchers to select appropriate methods and design their experiments to obtain a high photo‐conversion efficiency in photovoltaic devices with enhanced stability as compared to conventional photovoltaic devices.</jats:p>",Advanced Energy Materials,Wiley,False,"Review article, not original experimental work",False
10.1016/j.chempr.2021.07.011,Revealing phase evolution mechanism for stabilizing formamidinium-based lead halide perovskites by a key intermediate phase,"Article
Revealing phase evolution mechanism for
stabilizing formamidinium-based lead halide
perovskites by a key intermediate phase
Molecular-level understanding of the phase stabilization mechanism of
formamidinium lead halide (FAPbX3) perovskites is critical to realizing highly
efﬁcient and stable perovskite solar cells. In this work, a key phase transition
intermediate single crystal (8H phase) with unique structure was isolated and
identiﬁed, which provides the complete phase evolution map of FAPbX3 from the
viewpoint of structural chemistry and reveals the intrinsic doping effect of cations
and anions on the phase stabilization of FAPbX3 based on Pauling’s rule.
Zi-Ang Nan, Liang Chen, Qi
Liu, ..., Wan-Zhen Liang,
Bing-Wei Mao, Zhong-Qun Tian
clxmuperovskite@126.com (L.C.)
zxxie@xmu.edu.cn (Z.-X.X.)
liangwz@xmu.edu.cn (W.-Z.L.)
bwmao@xmu.edu.cn (B.-W.M.)
Highlights
A key phase transition
intermediate (8H phase) was
isolated and identiﬁed
Complete phase evolution of
FAPbX3 by the 8H phase single
crystal is provided
Effects of doping anions and
cations on the stabilization of
FAPbX3 are revealed
Rational design for the fabrication
of highly efﬁcient and stable PSCs
is suggested
Nan et al., Chem 7, 2513–2526
September 9, 2021 ª 2021 Elsevier Inc.
https://doi.org/10.1016/j.chempr.2021.07.011
ll


Article
Revealing phase evolution mechanism
for stabilizing formamidinium-based lead
halide perovskites by a key intermediate phase
Zi-Ang Nan,1,3 Liang Chen,1,3,* Qi Liu,1,3 Su-Heng Wang,1 Zhi-Xin Chen,1 Shao-Yu Kang,1 Jia-Bao Ji,2
Yan-Yan Tan,1 Yong Hui,1 Jia-Wei Yan,1 Zhao-Xiong Xie,1,* Wan-Zhen Liang,1",Chem,Elsevier BV,False,No solar cell fabrication or characterization described,False
10.1007/s12633-022-01714-7,An Effective Approach on Attaining Enhanced Silicon Solar Cell Performance Through Sputter Deposited Perovskite Thin Films,"Page 1/27
An Effective Approach on Attaining Enhanced
Silicon Solar Cell Performance Through Sputter
Deposited Perovskite Thin Films
V. K. Gobinath 
Kongu Engineering College
R. Rajasekar 
(

rajasekar.cr@gmail.com
)
Kongu Engineering College
 https://orcid.org/0000-0002-6539-1466
S. Santhosh 
Kongu Engineering College
C. Moganapriya 
Kongu Engineering College
A. Manju Sri 
Kongu Engineering College
J. Saravana Kumar 
University of Hull
Research Article
Keywords: Renewable energy, Solar energy, Anti-reflection coating, Perovskite materials, sputtering
process, Power conversion efficiency
Posted Date: October 4th, 2021
DOI: https://doi.org/10.21203/rs.3.rs-934692/v1
License:


This work is licensed under a Creative Commons Attribution 4.0 International
License.
 
Read Full License


Page 2/27
Abstract
Antireflection coatings (ARCs) have become one of the key techniques for mass production of Si solar
cells.They are generally performed by vacuum processes such as thermal evaporation, sol-gel and
plasma-enhanced chemical vapor deposition. In this work, RF sputtering method was adopted to prepare
the ARCs for the non-textured polycrystalline Si solar cells. The RF sputter coated SrTiO3, BaTiO3 and
SrTiO3-BaTiO3 (mechanical blends) Si solar cells were inspected through various characterisation
techniques. Through RF sputter deposition technique, thin films with good uniformity can be achieved
easily. The influence of ARC on solar cell samples were studied through evaluation of structural, optical
and electrical properties of coated and uncoated samples. The structural characterization was carried out
by X-ray diffraction (XRD) and scanning electron microscopy (SEM). The electrical resistivity was
measured in dark at room temperature using four-point probe technique. UV-visible",Silicon,Springer Science+Business Media,False,"Focuses on Si cells, not perovskite PSCs.",False
10.1038/s41467-025-62661-6,Lattice stabilization and strain homogenization in Sn-Pb bottom subcells enable stable all-perovskite tandems solar cells,"All-perovskite tandem solar cells (PTSCs) offer a promising approach to surpass the Shockley-Queisser (SQ) limit, driven by efficiently reducing thermalization and transmission losses. However, the efficiency and stability of the narrow-bandgap (NBG) subcells, which are essential for PTSC performance, remain severely constrained by challenges such as lattice instability, strain accumulation and halide migration under illumination. This study introduces a rigid sulfonate-based molecule, sodium naphthalene-1,3,6-trisulfonate (NTS), into tin-lead (Sn-Pb) perovskites, where it strengthens the Sn-I bond through Sn-trisulfonate coordination and reduces light-induced dynamic lattice distortions via the rigid NTS backbone. These molecular interactions alleviate strain heterogeneity within the lattice and homogenize the Sn-Pb compositional gradient, thereby enhancing the structural integrity and long-term stability of Sn-Pb perovskites under operational conditions. As a result, Sn-Pb single-junction perovskite solar cells (PSCs) achieve a power conversion efficiency (PCE) of 23.2%. When integrated into a tandem configuration, the device attains an impressive PCE of 29.6% (certified PCE of 29.2%, one of the highest certified efficiencies to date), with 93.1% of the initial efficiency retained after 700 h of continuous operation. By stabilizing the lattice structure, this work lays a solid foundation for achieving both high efficiency and long-term durability in next-generation perovskite photovoltaics.",Nature Communications,Nature Portfolio,False,Focuses on tandem subcells for all‑perovskite tandem devices,False
10.1016/j.jcis.2024.07.137,Revealing oxygen effect on efficiency and stability of quantum dot photovoltaics.,"Colloidal quantum dot solar cells (CQDSCs) have received great attention in the development of scalable and stable photovoltaic devices. Despite the high power-conversion-efficiency (PCE) reported, stability investigations are still limited and the exact degradation mechanisms of CQDSCs remain unclear under different atmosphere conditions. In this study, the atmospheric influence on the ZnO electron transport layer material (ETL), halide-passivated lead sulfide CQDs (PbS-PbI2) photoactive layer material and 1,2-ethanedithiol-PbS CQDs (PbS-EDT) hole transport material on device stability in PbS CQDSCs is investigated. It was found that O2 had negligible influence on PbS-PbI2, but it did induce the increase in work function of ZnO ETL and PbS-EDT layers. Notably, the increase of the ZnO work function (WFZnO) induces the formation of interface barrier between ZnO and PbS-PbI2, leading to a deterioration in device efficiency. By further replacing ZnO ETL with SnO2, a multi-interface collaborative CQDSC was constructed to realize the PCE with high stability. This study identifies the efficiency evolution that is inherent in CQDSCs under different atmospheric conditions.",Journal of colloid and interface science,Elsevier BV,False,Not about perovskite solar cells,False
